,rootname,PID,exptime,grating,cenwave,segment,fppos,lp,date-obs,targname,length_wl
81,lcqz32mtq,13967,139.936,G130M,1096,FUVA,3,2,2015-10-21,WAVE,1
82,lcqz21ihq,13967,139.904,G130M,1096,FUVA,3,2,2014-11-25,WAVE,1
83,ler102i3q,16830,159.904,G130M,1096,FUVA,3,2,2021-12-26,WAVE,1
84,lf4g04bqq,17326,11.936,G160M,1623,FUVA,3,6,2024-02-19,WAVE,1
85,lf4g3bg8q,17326,11.968,G160M,1577,FUVB,3,6,2024-02-04,WAVE,1
86,ler104s9q,16830,159.936,G130M,1096,FUVA,3,2,2022-02-18,WAVE,1
87,le5g06chq,15773,139.904,G130M,1096,FUVA,3,2,2020-04-10,WAVE,1
88,ldcv21f6q,14854,139.904,G130M,1096,FUVA,3,2,2017-09-25,WAVE,1
89,ldqj04j8q,15384,139.904,G130M,1096,FUVA,3,2,2018-02-20,WAVE,1
90,lf4g3bgaq,17326,12.0,G160M,1611,FUVB,3,6,2024-02-04,WAVE,1
91,lf205dmhq,17249,11.968,G160M,1533,FUVB,3,6,2023-05-31,WAVE,1
92,lf2054agq,17249,12.0,G160M,1577,FUVA,3,6,2023-03-06,WAVE,1
93,ler15amfq,16830,12.0,G160M,1623,BOTH,3,6,2022-04-17,WAVE,2
94,ler15am9q,16830,12.0,G160M,1611,BOTH,3,6,2022-04-17,WAVE,2
95,ld0y17f1q,14435,139.904,G130M,1096,FUVA,3,2,2016-10-17,WAVE,1
96,ler156geq,16830,159.744,G130M,1096,FUVA,3,2,2022-04-16,WAVE,1
97,ler156gkq,16830,11.904,G160M,1577,FUVA,3,6,2022-04-16,WAVE,1
98,ler15al6q,16830,12.0,G160M,1533,BOTH,3,6,2022-04-17,WAVE,2
99,lf201bhyq,17249,11.968,G160M,1611,BOTH,3,6,2022-12-20,WAVE,2
100,lce831les,13520,140.0,G130M,1096,FUVA,3,2,2014-09-24,WAVE,1
101,lf2002dqq,17249,11.968,G160M,1577,FUVA,3,6,2022-12-10,WAVE,1
102,ler112ecq,16830,11.968,G160M,1577,FUVB,3,6,2022-09-26,WAVE,1
