
CENWAVE 1055
==========================
Rootname	opt_elem	cenwave	fp-pos	life_adj	proposal	targname	date-obs	exptime
lce802mgq	G130M		1055	3	2		13520		WD0308-565	2013-12-25	334.02
lce804heq	G130M		1055	3	2		13520		WD0308-565	2014-02-22	334.02
lce806gdq	G130M		1055	3	2		13520		WD0308-565	2014-04-22	334.02
lce808ygq	G130M		1055	3	2		13520		WD0308-565	2014-06-27	334.02
lce810edq	G130M		1055	3	2		13520		WD0308-565	2014-08-18	334.02
lce812xlq	G130M		1055	3	2		13520		WD0308-565	2014-09-26	334.02
lcqz01pvq	G130M		1055	3	2		13967		WD0308-565	2014-11-27	334.02
lcqz03omq	G130M		1055	3	2		13967		WD0308-565	2015-02-04	334.02
lcqz04heq	G130M		1055	3	2		13967		WD0308-565	2015-02-09	334.02
lcqz06vyq	G130M		1055	3	2		13967		WD0308-565	2015-04-16	334.02
lcqz08d5q	G130M		1055	3	2		13967		WD0308-565	2015-06-08	334.02
lcqz10t4q	G130M		1055	3	2		13967		WD0308-565	2015-08-12	334.02
lcqz12kqq	G130M		1055	3	2		13967		WD0308-565	2015-10-20	334.02
ld0y02cmq	G130M		1055	3	2		14435		WD0308-565	2016-01-01	334.02
ld0y04j2q	G130M		1055	3	2		14435		WD0308-565	2016-02-23	334.02
ld0y06inq	G130M		1055	3	2		14435		WD0308-565	2016-04-19	334.02
ld0y08mwq	G130M		1055	3	2		14435		WD0308-565	2016-06-25	334.02
ld0y10drq	G130M		1055	3	2		14435		WD0308-565	2016-08-22	334.02
ld0y12e6q	G130M		1055	3	2		14435		WD0308-565	2016-10-17	334.02
ldcv02yrq	G130M		1055	3	2		14854		WD0308-565	2016-12-29	334.02
ldcv05epq	G130M		1055	3	2		14854		WD0308-565	2017-02-25	334.02
ldcv08esq	G130M		1055	3	2		14854		WD0308-565	2017-04-24	334.02
ldcv11f7q	G130M		1055	3	2		14854		WD0308-565	2017-06-26	334.02
ldcv17mkq	G130M		1055	3	2		14854		WD0308-565	2017-08-23	334.02
ldcv20esq	G130M		1055	3	2		14854		WD0308-565	2017-09-25	334.02
ldqj01n0q	G130M		1055	3	2		15384		WD0308-565	2017-12-27	363.04
ldqj03i2q	G130M		1055	3	2		15384		WD0308-565	2018-02-20	363.01
ldqj55xmq	G130M		1055	3	2		15384		WD0308-565	2018-05-11	363.01
ldqj07xxq	G130M		1055	3	2		15384		WD0308-565	2018-06-07	363.01
ldqj10diq	G130M		1055	3	2		15384		WD0308-565	2018-10-30	363.01
ldv001izq	G130M		1055	3	2		15535		WD0308-565	2018-12-28	363.01
ldv053mqq	G130M		1055	3	2		15535		WD0308-565	2019-03-20	363.01
ldv005f6q	G130M		1055	3	2		15535		WD0308-565	2019-04-16	363.01
ldv057yoq	G130M		1055	3	2		15535		WD0308-565	2019-06-28	363.01
ldv058axq	G130M		1055	3	2		15535		WD0308-565	2019-08-19	363.01
ldv060d2s	G130M		1055	3	2		15535		WD0308-565	2019-11-11	363.01
le5g01ezq	G130M		1055	3	2		15773		WD0308-565	2019-12-31	363.01
le5g53bsq	G130M		1055	3	2		15773		WD0308-565	2020-03-16	363.01
le5g05pgq	G130M		1055	3	2		15773		WD0308-565	2020-04-16	363.01
le5g07mgq	G130M		1055	3	2		15773		WD0308-565	2020-06-17	363.01
le5g08ltq	G130M		1055	3	2		15773		WD0308-565	2020-08-09	363.01
le5g10jyq	G130M		1055	3	2		15773		WD0308-565	2020-10-06	363.04
lefe01pkq	G130M		1055	3	2		16324		WD0308-565	2020-12-27	393.02
lefe53e9q	G130M		1055	3	2		16324		WD0308-565	2021-03-15	393.02
lefe05nwq	G130M		1055	3	2		16324		WD0308-565	2021-04-21	393.02
lefe07ljq	G130M		1055	3	2		16324		WD0308-565	2021-06-08	393.02
lefe08ouq	G130M		1055	3	2		16324		WD0308-565	2021-08-11	393.02
lefe10ouq	G130M		1055	3	2		16324		WD0308-565	2021-12-07	393.02
ler101bsq	G130M		1055	3	2		16830		WD0308-565	2022-01-07	318.05
ler103a7q	G130M		1055	3	2		16830		WD0308-565	2022-02-26	318.02
ler15akaq	G130M		1055	3	2		16830		WD0308-565	2022-04-16	318.02
ler107a3q	G130M		1055	3	2		16830		WD0308-565	2022-06-06	318.05
ler108ebq	G130M		1055	3	2		16830		WD0308-565	2022-08-20	318.02
ler110wgq	G130M		1055	3	2		16830		WD0308-565	2022-09-30	318.02
lf201aouq	G130M		1055	3	2		17249		WD0308-565	2022-12-17	318.02
lf203abbq	G130M		1055	3	2		17249		WD0308-565	2023-02-06	318.02
lf205cxiq	G130M		1055	3	2		17249		WD0308-565	2023-06-01	318.02
lf207af1q	G130M		1055	3	2		17249		WD0308-565	2023-06-26	318.02
lf218aegq	G130M		1055	3	2		17251		WD0308-565	2023-07-17	318.02
lf208alnq	G130M		1055	3	2		17249		WD0308-565	2023-08-11	318.02
lf2110y6q	G130M		1055	3	2		17251		WD0308-565	2023-09-03	318.02
lf2010m6q	G130M		1055	3	2		17249		WD0308-565	2023-10-08	318.02
lf4h1abcq	G130M		1055	3	2		17328		WD0308-565	2023-11-16	318.02
lf4g1arlq	G130M		1055	3	2		17326		WD0308-565	2023-12-22	318.02
lf4h3aekq	G130M		1055	3	2		17328		WD0308-565	2024-01-08	318.02

CENWAVE 1096
==========================
Rootname	opt_elem	cenwave	fp-pos	life_adj	proposal	targname	date-obs	exptime
lbui40nfq	G130M		1096	3	2		12715		GD71	2012-09-19	600.19
lbui41i2q	G130M		1096	3	2		12715		GD71	2012-10-15	600.19
